p243752	v729
p118153	v1630
p220961	v2341
p208671	v1329
p239321	v1224
p155415	v1937
p75315	v1229
p86313	v1362
p211067	v2312
p202620	v2277
p195523	v2132
p65316	v1099
p44485	v799
p281156	v397
p220208	v566
p280836	v2521
p121122	v1665
p74081	v1185
p255080	v1907
p189413	v334
p75559	v1231
p182415	v1115
p283078	v1573
p258790	v2453
p2617	v52
p185101	v277
p117510	v20
p245941	v480
p191283	v343
p63629	v1096
p220652	v177
p19186	v438
p168710	v170
p197073	v625
p60833	v1086
p25567	v511
p253875	v1882
p96817	v1429
p138249	v1786
p273176	v2512
p67435	v243
p8799	v165
p214173	v1896
p222992	v188
p11196	v188
p251123	v890
p167481	v2073
p246604	v1435
p135327	v484
p256988	v2446
p47853	v853
p182302	v248
p79351	v1234
p1503	v28
p91251	v1413
p140313	v894
p195354	v374
p118739	v436
p259601	v2466
p260480	v2473
p178711	v1511
p249163	v2413
p66727	v234
p70080	v311
p163019	v2014
p189344	v1149
p8041	v136
p158133	v1966
p22773	v473
p108054	v1130
p163488	v2014
p147890	v1885
p165818	v2053
p254811	v1907
p211160	v886
p235932	v2374
p184192	v1525
p233090	v339
p9278	v177
p284908	v2529
p8825	v166
p265919	v188
p215961	v1075
p90912	v1412
p204832	v2286
p265017	v188
p103844	v188
p70594	v1148
p254625	v1907
p116854	v682
p220185	v172
p45551	v819
p243691	v26
p240040	v2160
p227957	v1116
p87172	v1374
p133977	v1754
p29601	v188
p221270	v188
p218261	v2334
p182362	v1115
p71140	v339
p53041	v967
p155754	v1942
p254777	v1907
p11657	v198
p122675	v1687
p209407	v1439
p88815	v1392
p149244	v1886
p247911	v1723
p132915	v1748
p192044	v346
p84797	v1336
p84295	v1328
p183600	v2107
p213424	v1887
p35881	v660
p20507	v460
p185569	v282
p65209	v1098
p64230	v1096
p25892	v516
p241439	v2392
p210265	v867
p279205	v1161
p165954	v2055
p138737	v1798
p234007	v2363
p19546	v447
p106865	v248
p151848	v1904
p9216	v173
p237170	v378
p181652	v238
p155466	v1484
p287150	v2569
p16212	v353
p270092	v578
p268265	v578
p284564	v2529
p47628	v843
p46171	v826
p3151	v54
p216867	v1986
p212155	v1843
p104889	v188
p53968	v985
p63842	v1096
p267301	v2094
p71308	v339
p147355	v1880
p63987	v1096
p192242	v2123
p171898	v183
p269258	v578
p61154	v188
p281624	v627
p284574	v2529
p129074	v1723
p49612	v884
p91900	v1415
p201635	v2217
p189207	v1148
p217768	v2334
p182453	v1115
p122631	v454
p103302	v1507
p45917	v820
p195293	v374
p214783	v1384
p223760	v2349
p201113	v2187
p45540	v819
p208196	v2292
p138035	v861
p184542	v1528
p114995	v654
p15515	v339
p98957	v922
p100352	v1488
p148222	v1886
p227262	v234
p209900	v2304
p67965	v1123
p271832	v2508
p37860	v700
p271186	v2506
p150525	v1896
p6749	v111
p141584	v87
p118249	v1633
p38398	v708
p262557	v2484
p71269	v339
p266548	v2350
p138395	v1791
p2373	v48
p123595	v1693
p97858	v1459
p125795	v55
p155755	v1942
p140936	v501
p284534	v2529
p114972	v653
p265695	v188
p132808	v1747
p190631	v342
p262993	v166
p81143	v1292
p202107	v2274
p57469	v1048
p250930	v1343
p114776	v652
p88031	v1390
p286924	v2560
p45550	v819
p152949	v1909
p50713	v904
p109421	v1541
p117383	v20
p275485	v322
p82377	v1309
p235933	v2374
p94416	v1323
p239897	v2148
p163447	v2014
p55609	v1016
p115004	v654
p244824	v51
p42449	v783
p41743	v462
p277620	v359
p206624	v1730
p230825	v2360
p82958	v1318
p251142	v890
p12026	v207
p36008	v663
p15510	v339
p192769	v356
p220378	v566
p182703	v251
p11517	v193
p192535	v350
p167956	v2078
p220428	v1084
p155549	v1484
p24224	v487
p271791	v1523
p260411	v2473
p135261	v483
p275536	v2514
p19043	v433
p48915	v868
p65	v4
p247256	v1723
p208349	v2292
p160133	v1986
p268852	v578
p87367	v1377
p117914	v689
p100907	v1492
p157761	v1966
p106225	v209
p163154	v2014
p23560	v483
p107917	v1527
p231541	v2360
p274833	v2119
p225517	v2348
p245916	v480
p185927	v283
p135344	v484
p80273	v1234
p237936	v393
p16652	v375
p132228	v1738
p195984	v1181
p8672	v158
p224117	v203
p213929	v2322
p170103	v1084
p21817	v464
p276153	v2362
p82488	v1309
p150117	v538
p97524	v1459
p253409	v1874
p139960	v892
p105618	v194
p49399	v878
p75370	v1231
p263529	v566
p114559	v1589
p16052	v345
p190662	v342
p83319	v1323
p57980	v1052
p49498	v880
p177267	v199
p259444	v2465
p185540	v282
p63625	v1096
p199688	v2168
p30317	v578
p195200	v373
p2571	v51
p101033	v1492
p115495	v10
p39784	v730
p87181	v1374
p192830	v357
p14470	v302
p65760	v227
p74062	v1184
p32648	v606
p188495	v2120
p50574	v898
p178285	v1094
p15575	v340
p26808	v537
p64853	v208
p246894	v1723
p192733	v610
p192372	v2124
p102584	v170
p127866	v798
p284935	v2529
p259592	v2466
p94804	v1323
p265369	v188
p246078	v1434
p206097	v1726
p183765	v265
p96423	v1429
p230151	v1534
p197919	v2139
p129120	v1723
p217117	v1986
p260055	v2473
p118452	v1637
p84579	v1333
p156959	v1950
p70606	v1148
p18511	v425
p240423	v2187
p242476	v667
p13344	v252
p150578	v1896
p16266	v357
p213345	v1887
p227577	v1520
p221968	v188
p272853	v2114
p75029	v1223
p286348	v2545
p11807	v203
p145134	v92
p102733	v175
p62881	v1090
p191483	v345
p239611	v1571
p104938	v188
p64323	v1096
p210457	v2310
p104980	v188
p218649	v2334
p208894	v2296
p5485	v91
p142167	v1832
p191562	v345
p72205	v352
p113136	v1579
p103899	v188
p270582	v2100
p130947	v1325
p255076	v1907
p36744	v677
p73489	v370
p11942	v203
p74610	v1201
p199848	v2169
p63406	v1096
p285451	v2531
p182661	v250
p184876	v1131
p210131	v863
p78723	v1232
p275520	v2514
p38374	v708
p103317	v1508
p171254	v1505
p30525	v578
p99044	v96
p134095	v1755
p195315	v374
p261784	v2474
p224572	v1096
p44413	v801
p63256	v203
p270835	v239
p84499	v1333
p262928	v2490
p92079	v1415
p65275	v1098
p47769	v848
p99765	v1484
p141250	v901
p6077	v102
p41226	v763
p110569	v340
p54675	v995
p208524	v2294
p281180	v397
p185772	v282
p140200	v82
p22906	v475
p280432	v2135
p207762	v2292
p85910	v1349
p156392	v1946
p179025	v1096
p79307	v1234
p10296	v188
p89579	v1398
p47676	v846
p51765	v935
p53974	v985
p238846	v1199
p282471	v1196
p131399	v1325
p49815	v886
p138528	v74
p167963	v2078
p45565	v819
p103236	v181
p275336	v317
p159481	v1074
p275069	v2513
p278223	v616
p245631	v2406
p111023	v1548
p264997	v188
p79103	v1234
p287407	v2577
p7875	v131
p181250	v230
p119704	v719
p166935	v2061
p276451	v606
p201159	v2187
p146870	v104
p244731	v2342
p242377	v1299
p186476	v2114
p186967	v2117
p28128	v165
p59965	v566
p67316	v1113
p210464	v2310
p32350	v317
p199263	v2164
p31416	v278
p273636	v2360
p120018	v442
p149227	v1886
p184604	v2112
p92043	v1415
p220004	v169
p265302	v188
p70596	v1148
p196911	v391
p195340	v374
p262126	v2474
p227902	v1115
p276675	v339
p54017	v985
p164044	v2023
p172645	v187
p20859	v462
p219048	v2334
p255309	v1907
p154393	v134
p105467	v190
p216639	v1986
p236346	v2379
p79299	v1234
p247890	v1723
p264244	v569
p27716	v560
p5911	v100
p30023	v578
p27266	v549
p31178	v268
p213044	v956
p191194	v1155
p271742	v2507
p88407	v1392
p94076	v1434
p58209	v1058
p142767	v515
p19753	v453
p13322	v251
p80649	v1286
p159739	v1979
p99646	v122
p64294	v1096
p71803	v343
p236058	v2376
p45023	v810
p286949	v2561
p238260	v400
p220731	v181
p225229	v2351
p43559	v791
p150956	v1896
p180255	v215
p236692	v2380
p208752	v2295
p198761	v2154
p163563	v2014
p173715	v188
p107618	v269
p135437	v1764
p229401	v2112
p33196	v351
p114783	v652
p137864	v1784
p103199	v180
p75154	v1225
p20325	v459
p220365	v566
p66877	v235
p57056	v1035
p23643	v483
p218443	v2334
p259264	v2459
p163636	v2016
p225035	v210
p10465	v188
p179906	v2095
p165278	v2044
p62737	v193
p120333	v1654
p102528	v170
p223311	v1090
p247407	v1723
p120395	v1313
p141329	v87
p151149	v987
p181513	v235
p103561	v188
p157633	v558
p68272	v1127
p75473	v1231
p171239	v179
p139151	v1808
p191271	v343
p7996	v135
p150594	v1896
p97765	v1459
p35515	v653
p61086	v188
p63133	v203
p244000	v748
p160347	v1986
p21231	v462
p106867	v248
p201623	v2205
p215882	v2329
p186359	v2114
p98227	v1459
p255693	v1907
p169894	v566
p169547	v566
p282287	v632
p73761	v1180
p179161	v1096
p265177	v188
p253213	v1874
p188310	v2120
p190008	v338
p48514	v865
p25284	v508
p280550	v2135
p174822	v188
p47921	v857
p65165	v1097
p98440	v1464
p102784	v566
p29053	v188
p48953	v869
p112823	v1575
p31707	v282
p23898	v486
p103701	v188
p28079	v157
p58549	v1068
p217961	v2334
p48740	v867
p152654	v1907
p126810	v1717
p83017	v1319
p148457	v1886
p37554	v690
p237233	v381
p228152	v251
p13754	v272
p186286	v1537
p91199	v1413
p90413	v1406
p266813	v1096
p125458	v52
p161062	v1986
p247758	v1723
p128461	v1723
p196491	v1561
p229254	v270
p37045	v687
p157014	v1951
p208733	v1329
p65903	v227
p235871	v2373
p220593	v1084
p212685	v1843
p223970	v2350
p13298	v251
p60422	v177
p218967	v2334
p176639	v2090
p275879	v330
p287764	v2588
p180574	v2098
p4383	v78
p217738	v2333
p44191	v798
p157470	v1959
p64301	v1096
p172234	v2088
p21944	v465
p190223	v2122
p23533	v483
p113641	v1580
p242954	v2399
p10932	v188
p172629	v187
p222206	v188
p216649	v1986
p210722	v871
p36461	v672
p274963	v2119
p192269	v2123
p84851	v1336
p131611	v475
p123269	v1693
p25849	v516
p155878	v1946
p129837	v473
p78898	v1232
p130788	v1325
p202942	v2279
p282937	v1568
p73046	v1163
p5534	v91
p258128	v1979
p143283	v1840
p260844	v2473
p128076	v1723
p190919	v342
p75286	v1229
p224869	v208
p206684	v1730
p15715	v345
p222985	v188
p124535	v1697
p195427	v375
p140260	v894
p281380	v397
p225350	v212
p155103	v1935
p56426	v1024
p31247	v269
p132708	v1746
p245286	v783
p96765	v1429
p28744	v177
p277756	v2518
p72251	v357
p104999	v188
p40297	v744
p185339	v595
p271774	v1523
p76678	v1232
p123073	v1692
p169949	v1084
p66613	v233
p282787	v1223
p152673	v1907
p35578	v654
p287706	v2586
p13310	v251
p229490	v273
p174647	v188
p241340	v2392
p4370	v77
p76232	v1232
p272895	v288
p49186	v871
p106582	v1109
p277198	v345
p101876	v1498
p243093	v2337
p126793	v786
p94870	v1437
p29484	v188
p56670	v1025
p277163	v345
p195313	v374
p96946	v1458
p185564	v282
p264684	v2494
p174305	v188
p100408	v1488
p174436	v188
p115269	v422
p156064	v1946
p211088	v2312
p62471	v188
p34371	v641
p60872	v188
p279127	v1161
p67843	v254
p154351	v1017
p65602	v221
p250582	v494
p118581	v435
p167505	v2073
p2095	v41
p29153	v188
p17215	v403
p178331	v2092
p45655	v819
p51330	v921
p8735	v161
p34378	v641
p110466	v1151
p59911	v566
p254329	v118
p62285	v188
p117544	v20
p32080	v297
p254407	v1382
p186695	v287
p265969	v188
p177083	v199
p14242	v294
p243687	v26
p252400	v952
p264340	v2493
p231854	v1148
p48810	v867
p16852	v391
p226664	v227
p85550	v1344
p128901	v1723
p183334	v2103
p263717	v1084
p64707	v1096
p48731	v867
p138861	v1800
p263682	v1084
p117660	v20
p136775	v1768
p89720	v1399
p180884	v227
p93263	v1426
p64371	v1096
p205998	v1726
p5421	v90
p111660	v378
p240175	v2174
p245246	v783
p148877	v1887
p13549	v262
p23606	v483
p270403	v227
p14675	v306
p235407	v358
p26667	v533
p113593	v643
p174896	v188
p66020	v1104
p209207	v2296
p99418	v1476
p5458	v90
p175045	v188
p11546	v194
p260652	v2473
p175838	v188
p118357	v1636
p129538	v1726
p121569	v1673
p39952	v737
p234358	v2364
p286543	v2551
p180150	v580
p59457	v158
p284089	v2529
p237704	v389
p284516	v2529
p271442	v256
p121650	v1675
p4408	v78
p287545	v2581
p71163	v339
p273202	v2512
p98751	v1467
p240987	v2275
p229521	v593
p246062	v1434
p235466	v611
p98729	v1467
p31231	v269
p277998	v615
p32594	v606
p257543	v1044
p192197	v1548
p198266	v2142
p217594	v475
p126474	v784
p133888	v65
p103216	v181
p127766	v1722
p175513	v188
p103007	v177
p37020	v686
p99305	v1475
p211792	v2317
p13034	v246
p122519	v38
p236896	v377
p34532	v642
p247523	v1723
p59665	v170
p201244	v2188
p71377	v339
p54982	v1006
p39289	v719
p68647	v1132
p44329	v798
p225013	v210
p77620	v1232
p110448	v334
p204872	v2286
p32316	v317
p224803	v1096
p219369	v2339
p117278	v19
p179846	v211
p26098	v519
p196861	v391
p192386	v2124
p62872	v1090
p241545	v2394
p134707	v1760
p100417	v1488
p96318	v47
p57072	v1036
p8603	v152
p168356	v154
p125037	v1703
p176726	v193
p172700	v187
p103361	v188
p60789	v185
p123663	v1693
p28476	v566
p24256	v487
p45374	v814
p206560	v1730
p78643	v1232
p55896	v1020
p214643	v1896
p10414	v188
p5324	v89
p252274	v1857
p200668	v2177
p23909	v486
p54495	v987
p209766	v2302
p168038	v2078
p248378	v804
p273307	v1540
p38258	v707
p236514	v1163
p194478	v370
p51646	v931
p76896	v1232
p229054	v268
p135588	v68
p15089	v317
p142633	v89
p238364	v1189
p103699	v188
p108371	v1531
p142246	v1833
p142692	v89
p165606	v2050
p79432	v1234
p48573	v865
p252725	v964
p181240	v230
p117964	v696
p41911	v776
p175735	v188
p92756	v1419
p68921	v1133
p245471	v2406
p253434	v1874
p57597	v1050
p268728	v578
p229747	v2356
p282742	v1210
p5565	v92
p146931	v104
p90999	v1413
p146219	v529
p278945	v1161
p28966	v188
p238424	v627
p149123	v1886
p181691	v238
p38449	v709
p161422	v1989
p267648	v1098
p68563	v274
p128142	v1723
p143358	v518
p273047	v1136
p31249	v269
p253021	v1370
p37581	v692
p132764	v1746
p234074	v2363
p24944	v501
p217602	v475
p117123	v19
p170630	v1084
p142449	v1836
p141313	v87
p19080	v435
p258392	v1491
p94261	v1323
p192317	v2123
p34550	v642
p250763	v1800
p43738	v793
p86047	v1352
p151130	v987
p180826	v226
p127074	v1718
p2367	v48
p202283	v2276
p4475	v78
p197007	v1562
p254056	v2437
p65736	v226
p228432	v253
p238280	v401
p250468	v868
p90971	v1413
p29870	v577
p137409	v1778
p231406	v2360
p213460	v1887
p259225	v2458
p162587	v2009
p70084	v311
p210422	v867
p207888	v2292
p274328	v309
p99286	v1475
p21384	v462
p284385	v2529
p184950	v274
p139014	v881
p109934	v307
p30511	v578
p14928	v309
p264946	v188
p115522	v1598
p66276	v1109
p210438	v2310
p199931	v2170
p142900	v931
p66757	v234
p127534	v58
p28405	v566
p62993	v1093
p152116	v1907
p96319	v47
p240456	v2187
p79715	v1234
p40238	v743
p149939	v115
p283541	v2172
p269291	v578
p111053	v1548
p268854	v578
p172929	v188
p149806	v113
p49032	v871
p82215	v1309
p29653	v196
p274697	v309
p239076	v1210
p38652	v713
p61634	v188
p251562	v917
p75628	v1231
p121021	v32
p57823	v1052
p64022	v1096
p71470	v339
p252004	v2425
p108526	v283
p23393	v483
p194647	v370
p242333	v1299
p169363	v173
p230714	v601
p259794	v2468
p163838	v2020
p236210	v2379
p10399	v188
p232656	v339
p6500	v108
p251839	v920
p208153	v2292
p175012	v188
p107869	v1526
p109730	v302
p6111	v103
p201600	v636
p239979	v2154
p20912	v462
p17629	v403
p164215	v2029
p252507	v98
p181564	v237
p112008	v392
p283181	v2149
p203846	v1309
p41234	v763
p172658	v187
p267973	v578
p68310	v270
p46244	v826
p126437	v784
p198210	v2142
p162002	v1994
p275031	v2120
p280250	v1560
p82359	v1309
p12955	v242
p249535	v2348
p211684	v2316
p153954	v1922
p287773	v2589
p275978	v2362
p218070	v2334
p203712	v1309
p262194	v2476
p69431	v282
p221697	v188
p145791	v97
p262974	v2490
p148626	v1887
p200648	v2177
p21130	v462
p156161	v1946
p96958	v1458
p18109	v418
p109593	v300
p93726	v1431
p169848	v566
p117506	v20
p3327	v58
p20914	v462
p186893	v1538
p150520	v1895
p41707	v462
p208028	v2292
p170737	v177
p92485	v1415
p220919	v182
p77231	v1232
p133103	v1752
p204595	v2283
p288227	v2614
p25470	v510
p84975	v1339
p230117	v284
p86916	v1371
p123835	v1695
p235574	v2370
p268747	v578
p212071	v929
p86291	v1359
p10901	v188
p268	v14
p138070	v492
p272093	v2109
p191073	v342
p208704	v1329
p85855	v1348
p196389	v385
p40758	v753
p274457	v309
p151589	v991
p85993	v1351
p267883	v578
p90440	v1407
p82274	v1309
p152508	v1907
p83559	v1324
p229859	v1533
p72331	v357
p35354	v652
p123118	v457
p124435	v1697
p88099	v1390
p28350	v566
p58264	v1060
p97790	v1459
p92482	v1415
p238309	v1562
p104597	v188
p190710	v342
p238282	v401
p46282	v826
p264088	v180
p206222	v1730
p174236	v188
p219054	v2334
p275857	v330
p32117	v302
p137178	v1776
p265915	v2500
p7652	v129
p276599	v339
p272699	v282
p125628	v1705
p140962	v1823
p146497	v1874
p282958	v1570
p10031	v187
p72937	v1162
p172344	v185
p34406	v641
p151868	v1905
p157623	v558
p167984	v2078
p197298	v1198
p238388	v627
p135478	v66
p166582	v2056
p15313	v332
p103711	v188
p261622	v2474
p155583	v1484
p82086	v1307
p156806	v1946
p48719	v867
p145881	v526
p133515	v1752
p149380	v1886
p132677	v818
p158837	v1966
p15839	v345
p143342	v518
p280668	v2136
p59832	v566
p143975	v1843
p132529	v1745
p286975	v2562
p575	v19
p177074	v199
p165751	v2052
p157191	v1954
p185665	v282
p189430	v334
p8257	v145
p167489	v2073
p130132	v1728
p70710	v1149
p17335	v403
p249700	v1441
p222589	v188
p130671	v474
p122130	v1682
p236913	v377
p101990	v1500
p275283	v312
p73329	v1173
p30761	v578
p44952	v809
p230494	v290
p31063	v588
p210741	v871
p200176	v2172
p77784	v1232
p277744	v2378
p128364	v1723
p4811	v87
p178833	v1096
p77833	v1232
p66553	v1111
p67482	v1114
p144367	v1843
p217185	v1986
p112737	v1573
p167944	v2078
p279969	v2519
p131319	v1325
p127718	v1721
p63161	v203
p279853	v1183
p269245	v578
p180371	v216
p86459	v1362
p177312	v199
p215228	v1020
p110784	v1546
p69216	v595
p133299	v1752
p91476	v1415
p136284	v1766
p214862	v1004
p68457	v273
p44474	v799
p112409	v1199
p153675	v1921
p283347	v2165
p29672	v196
p132563	v1745
p138877	v1800
p283137	v2141
p44569	v802
p141245	v1446
p30095	v578
p224272	v1096
p56667	v1025
p18349	v423
p9326	v177
p85352	v73
p153823	v1922
p215420	v2326
p216591	v1986
p5796	v97
p10064	v188
p214880	v1482
p200892	v2181
p182686	v251
p21441	v462
p147544	v110
p79694	v1234
p195982	v1181
p132035	v812
p195045	v372
p231249	v2360
p36675	v675
p172135	v184
p84290	v1328
p252011	v2425
p40349	v746
p191338	v343
p168730	v170
p191384	v345
p223236	v193
p59088	v1077
p250250	v2388
p199707	v2168
p27742	v561
p232298	v336
p119442	v718
p147352	v1880
p4778	v87
p262460	v2480
p157565	v1960
p116995	v1625
p252170	v2427
p211482	v2315
p190408	v2122
p64719	v1096
p189438	v334
p171087	v178
p30453	v578
p154024	v1922
p206229	v1730
p245421	v1717
p215872	v2329
p210710	v871
p86207	v1357
p116335	v16
p187743	v304
p158734	v1966
p5332	v89
p157912	v1966
p103626	v188
p30971	v585
p53776	v981
p203022	v681
p31597	v282
p72067	v1156
p11928	v203
p128140	v1723
p82421	v1309
p8388	v149
p281312	v397
p60470	v177
p76410	v1232
p224896	v208
p261431	v2474
p114768	v652
p211881	v511
p156427	v1946
p134433	v1759
p177407	v199
p262106	v2474
p56886	v1030
p244155	v756
p120671	v1661
p95492	v1441
p189292	v1149
p284503	v2529
p98142	v1459
p40336	v745
p208089	v2292
p243935	v1455
p146841	v104
p103089	v1506
p8828	v166
p181020	v1105
p69032	v277
p180224	v214
p218868	v2334
p102043	v1501
p79714	v1234
p187191	v294
p254856	v1907
p76762	v1232
p14984	v310
p117491	v20
p184275	v271
p242969	v686
p133686	v1752
p43781	v793
p239399	v1225
p253809	v1882
p234572	v1546
p193648	v1161
p107108	v256
p43704	v793
p255186	v1907
p39743	v730
p205827	v1726
p223702	v2349
p135735	v1766
p262035	v2474
p108115	v272
p57041	v1035
p15106	v318
p130895	v1325
p14650	v304
p66732	v234
p53109	v967
p209231	v2296
p102839	v566
p193425	v1161
p170553	v1084
p68089	v1126
p48966	v869
p68448	v1130
p20172	v459
p69696	v1140
p202766	v2277
p142604	v928
p48946	v869
p46996	v831
p179984	v1515
p56575	v1024
p77605	v1232
p40017	v738
p56356	v1024
p59671	v170
p83620	v1325
p111645	v378
p41087	v759
p187414	v299
p102241	v163
p242533	v667
p79483	v1234
p210135	v863
p145135	v92
p168363	v154
p952	v20
p244506	v1430
p285907	v2531
p236289	v2379
p18078	v417
p242332	v2331
p68057	v1125
p241453	v2392
p87353	v1377
p248528	v2410
p130321	v1728
p190268	v2122
p40337	v745
p190519	v342
p22169	v468
p239762	v2144
p148948	v1887
p279670	v1177
p268726	v578
p211535	v502
p159209	v1967
p280862	v396
p83031	v1319
p23468	v483
p62816	v193
p285031	v2529
p196814	v2136
p65476	v217
p109734	v302
p233077	v339
p4148	v70
p170772	v177
p25406	v509
p262367	v1949
p258167	v1979
p72620	v1161
p213595	v1887
p191733	v345
p83078	v1320
p248549	v810
p202047	v641
p286933	v2560
p286429	v2547
p48538	v865
p203999	v1309
p173392	v188
p123991	v459
p73352	v1173
p206669	v1730
p164382	v2030
p8570	v151
p174643	v188
p99272	v1475
p203671	v1309
p89268	v1392
p225617	v580
p280615	v2136
p242548	v667
p23820	v485
p75633	v1231
p171627	v182
p187027	v290
p207299	v2292
p107055	v256
p248522	v2410
p252851	v2430
p82978	v1319
p120264	v1652
p273656	v302
p230711	v601
p121179	v1668
p94005	v480
p124927	v1701
p42387	v783
p286495	v2549
p45294	v812
p63744	v1096
p175290	v188
p71859	v343
p111118	v347
p208460	v2293
p12293	v215
p162786	v2010
p280353	v389
p91923	v1415
p233326	v339
p209458	v2297
p23853	v486
p111285	v1551
p271050	v248
p287594	v2583
p180244	v215
p158244	v1966
p83969	v1325
p197796	v1576
p172805	v187
p176207	v188
p165280	v2044
p187124	v599
p124162	v460
p154384	v134
p109068	v1539
p263908	v2491
p28125	v165
p249839	v1765
p14322	v299
p34258	v638
p250634	v879
p205445	v463
p218309	v2334
p239936	v2154
p129980	v1727
p107890	v1527
p207365	v2292
p159464	v1074
p83025	v1319
p178078	v199
p100926	v1492
p10705	v188
p29881	v578
p125660	v1708
p166048	v2055
p238167	v399
p145595	v950
p110443	v334
p269518	v578
p197907	v2139
p246597	v2345
p236866	v620
p200888	v2181
p161666	v1993
p168573	v162
p137412	v1778
p234561	v1546
p108207	v1530
p271926	v267
p224965	v575
p186022	v283
p58754	v1071
p36028	v664
p227915	v1116
p123485	v1693
p215028	v2325
p265202	v188
p19968	v458
p267629	v1517
p214536	v1896
p204272	v1315
p275090	v2513
p246214	v792
p102414	v1504
p70066	v311
p86179	v1356
p16477	v370
p86487	v1365
p131195	v1325
p122652	v1686
p105390	v188
p261702	v2474
p104953	v188
p5986	v102
p281808	v2523
p157774	v1966
p116654	v1622
p68889	v1133
p263166	v2081
p256622	v2443
p274370	v309
p112192	v632
p225545	v2348
p205852	v1726
p55409	v1016
p245523	v2406
p165403	v2047
p58769	v1073
p44250	v798
p97399	v1459
p208353	v2292
p75563	v1231
p272062	v2109
p254707	v1907
p158437	v1966
p285684	v2531
p248598	v811
p274749	v309
p168908	v170
p101043	v1492
p111358	v369
p64629	v1096
p82665	v1314
p106124	v1512
p169932	v1084
p145825	v1861
p7213	v122
p55665	v1016
p286806	v2557
p58693	v1071
p1168	v22
p86865	v1370
p123287	v1693
p34288	v639
p127669	v61
p68650	v1132
p78078	v1232
p109060	v1136
p269461	v578
p251672	v2421
p212184	v1843
p33967	v629
p181464	v234
p236847	v2132
p245826	v480
p66515	v1111
p260287	v2473
p277078	v343
p8875	v170
p204718	v745
p276270	v335
p251805	v920
p172599	v187
p171778	v183
p22791	v473
p264586	v2088
p260354	v2473
p246909	v1723
p98229	v1460
p267407	v211
p55265	v1010
p47968	v857
p191053	v342
p9779	v185
p211631	v901
p272172	v270
p268002	v578
p179441	v208
p195122	v373
p29555	v188
p183784	v266
p110814	v1547
p92668	v1418
p265316	v188
p123272	v1693
p192455	v1156
p84171	v1326
p266419	v2503
p131120	v1325
p99962	v1486
p269967	v578
p170252	v1084
p287924	v2597
p126902	v1717
p203987	v1309
p91797	v1415
p274308	v309
p285951	v2533
p109986	v307
p274413	v309
p187442	v299
p71086	v339
p184580	v2112
p127289	v788
p144978	v1849
p53055	v967
p58910	v1074
p103152	v1506
p116447	v1621
p242169	v423
p111299	v368
p28817	v568
p195385	v375
p234749	v345
p273744	v302
p205747	v795
p108237	v1530
p270446	v227
p85196	v1342
p123502	v1693
p271817	v2508
p55477	v1016
p185225	v278
p175244	v188
p159210	v1967
p177946	v199
p75230	v1228
p168944	v2081
p278504	v616
p11392	v188
p180123	v1099
p224718	v1096
p12222	v213
p140943	v501
p108770	v1536
p223644	v2349
p234003	v2363
p253778	v1882
p2346	v47
p17667	v403
p96112	v42
p54762	v999
p149482	v1886
p4182	v71
p22129	v468
p33907	v625
p125050	v1703
p105858	v203
p284568	v2529
p94542	v1323
p4035	v69
p28320	v566
p270847	v1520
p157523	v1961
p276575	v339
p29473	v188
p150300	v1893
p16927	v396
p244223	v758
p221336	v188
p229637	v1133
p52810	v964
p108023	v1529
p122600	v1686
p275264	v2513
p173034	v188
p104072	v188
p48498	v865
p274915	v2119
p283650	v2524
p13627	v267
p280184	v2520
p48000	v857
p282358	v632
p238868	v1201
p59471	v160
p198636	v2152
p20663	v462
p119681	v719
p10568	v188
p257792	v1060
p167186	v2062
p23827	v486
p61999	v188
p260199	v2473
p93872	v1432
p244387	v1692
p101795	v1497
p161783	v1993
p264518	v183
p241262	v2312
p121599	v1674
p150584	v1896
p20410	v459
p264313	v569
p176676	v1088
p262757	v1083
p106638	v231
p267146	v1096
p106427	v1516
p177004	v198
p98935	v1471
p55485	v1016
p44260	v798
p231691	v310
p265997	v188
p130589	v1728
p65924	v227
p33068	v345
p15576	v340
p192669	v2125
p206990	v1730
p51912	v938
p225303	v2095
p94757	v1323
p50827	v908
p242696	v2398
p268442	v578
p279549	v370
p1583	v31
p57425	v1047
p287339	v2575
p257662	v1048
p2624	v52
p277109	v343
p181930	v243
p248576	v810
p15177	v324
p136296	v1766
p31571	v596
p112607	v1569
p21228	v462
p180484	v221
p16699	v378
p115152	v657
p135338	v484
p261935	v2474
p252681	v964
p62349	v188
p258356	v1399
p81091	v1291
p236257	v2379
p109950	v307
p281060	v397
p169314	v173
p190394	v2122
p65192	v1098
p249737	v1441
p262215	v2476
p186682	v2114
p281505	v1562
p123376	v1693
p94246	v1323
p114474	v1588
p204537	v2282
p138764	v878
p139670	v1816
p134638	v1760
p84046	v1325
p213515	v1887
p218660	v2334
p158471	v1966
p29965	v578
p124721	v49
p68181	v269
p9998	v187
p24620	v492
p85227	v1342
p119729	v719
p281526	v402
p24412	v489
p116392	v432
p49711	v884
p121728	v746
p266752	v1511
p47898	v857
p278029	v615
p160974	v1986
p99714	v1484
p59054	v1077
p226910	v1108
p35548	v653
p121014	v31
p110698	v340
p10091	v188
p11597	v195
p74345	v1191
p240199	v2176
p10622	v188
p43379	v789
p62853	v193
p229669	v1133
p258320	v1399
p202208	v2275
p229299	v592
p156822	v1946
p151387	v1898
p81739	v1304
p236595	v370
p74513	v1196
