v1881	vInt.Sym.Wikis
v577	vGeneticProgrammingandEvolvableMachines
v574	vEgyptianComputerScienceJournal
v575	vFoundationsofComputationalMathematics
v578	vIEICETransactions
v579	vComputerScience-R&D
v1354	vSBAC-PAD
v1355	vSBBD
v1356	vINFOS
v1357	vSEFM
v1350	vQSHINE
v1351	vRSFDGrC
v1352	vSADFE
v1353	vSAINT
v1358	vURSW
v1359	vOM
v1959	vICIG
v1228	vIJHPCA
v1229	vI.J.NetworkSecurity
v1224	vTheElectronicLibrary
v1225	vJ.KnowledgeManagement
v1226	vInternetResearch
v1227	vBioDataMining
v1220	vI.J.FunctionalInformaticsandPersonalisedMedicine
v1221	vIT&People
v1222	vOCLCSystems&Services
v1223	vOnlineInformationReview
v1530	vTheoryComput.Syst.
v1531	vNeuralComputingandApplications
v1532	vOrder
v1533	vPatternAnal.Appl.
v1534	vQueueingSyst.
v1535	vRequir.Eng.
v1536	vReal-TimeSystems
v1537	vStudiaLogica
v1538	vSIAMJ.DiscreteMath.
v1539	vMobileComputingandCommunicationsReview
v1757	vICIQ
v143	vIS-EUD
v142	vQI
v141	veTELEMED
v140	vISEC
v147	vBICoB
v146	vActesd'IC
v145	vESSoS
v144	vLocWeb
v149	vCIbSE
v148	vSYSTOR
v1671	vEDCC-CARS
v781	vInternationalConferenceonInternetComputing
v780	vWebIntelligence/IATWorkshops
v783	vIC-AI
v782	vICAPP
v785	vICANN()
v784	vICALT
v787	vICCS
v786	vICARIS
v789	vICDAR
v788	vICCSA()
v1676	vERPhDColloquium
v1675	vEJC
v1674	vEGOVIS
v1498	vKEOD
v1457	vFoIKS
v1456	vFOCS
v1826	vRoboCup
v1827	vICSAMOS
v1824	vPrivacyinStatisticalDatabases
v1825	vQEST
v1822	vPROMAS
v1823	vPROPOR
v1820	vPPSN()
v1821	vPRICAI
v1828	vSARA
v1829	vSCCC
v1459	vICC
v2401	vCOLT
v1949	vIWPACBB
v2403	vICFI
v1458	vHIS()
v2405	vUPGRADE-CN
v2404	vSPRINGL
v2407	vICES
v2406	vICCV
v2409	vICPADS
v2408	vICINCO()
v369	vACMSIGSOFTSoftwareEngineeringNotes
v368	vServiceOrientedComputingandApplications
v363	vEG
v362	vIJWBC
v361	vIJAOSE
v360	vIJWGS
v367	vJNW
v366	vIJSS
v365	vComplexity
v364	vIJSNET
v2319	vSOFTVIS
v2318	vSEAL
v2315	vRSCTC
v2314	vACL/AFNLP
v2317	vSBIA
v2316	vSAB
v2311	vTheexpert'svoice
v2310	vvdfLehrbuch
v2313	vPacificSymposiumonBiocomputing
v2312	vACIVS()
v217	vInt.J.Comput.GeometryAppl.
v216	vIJCAT
v215	vInt.J.Approx.Reasoning
v214	vInternationalJournalonArtificialIntelligenceTools
v213	vIJAC
v212	vInf.Comput.
v211	vFundam.Inform.
v210	vFuzzySetsandSystems
v219	vInt.J.CooperativeInf.Syst.
v218	vInternationalJournalofComputationalIntelligenceandApplications
v819	vIJCAI
v818	vIICS
v811	vICWN
v810	vICWL
v813	vIDA
v812	vICWS
v815	vIDEAS
v814	vIDEAL
v817	vInformationHiding
v816	vARSPA-WITS
v1585	vADBIS(Workshops)
v1584	vACSD
v2229	vIntelligentSystemsforKnowledgeManagement
v2228	vAdvancesinInformationandIntelligentSystems
v2221	vIntelligentCollaborativee-LearningSystemsandApplications
v2220	vInnovationsinNeuralInformationParadigmsandApplications
v2223	vApplicationsofSupervisedandUnsupervisedEnsembleMethods
v2222	vEvolutionaryDesignofIntelligentSystemsinModeling,SimulationandControl
v2225	vInnovationsinSwarmIntelligence
v2224	vBio-inspiredHybridIntelligentSystemsforImageAnalysisandPatternRecognition
v2227	vNaturalIntelligenceforScheduling,PlanningandPackingProblems
v2226	vRecentAdvancesinNonlinearDynamicsandSynchronization
v1589	vKCARE
v1588	vYearsGULP
v2400	vPIKM
v2402	vDATESO
v2135	vJCIT
v2134	vEnterpriseIS
v2137	vIEEET.AutomationScienceandEngineering
v2136	vJDCTA
v2131	vIJWIN
v2130	vTheoryofComputing
v2133	vIJDSN
v2132	vBiosystems
v2139	vMarketingScience
v2138	vI.J.LawandInformationTechnology
v961	vWCCE
v960	vWABI
v963	vWebDB
v962	vDISC
v965	vWICSA/ECSA
v964	vWebIntelligence
v967	vWirtschaftsinformatik()
v966	vWIDM
v969	vHOTMOBILE
v968	vWISE
v1783	vMABS
v1782	vLSSC
v1781	vLOPSTR
v1780	vLISA
v1039	vePart
v1038	vRP
v1785	vMASCOTS
v1784	vDigitalMammography/IWDM
v1035	vACML
v1034	vCHIMIT
v1037	vFIRARoboWorldCongress
v1036	vSoMeT
v1031	vENTER
v1030	vMIG
v1033	vICIDS
v1032	vAmI
v569	vComput.J.
v568	vComputationalComplexity
v565	vBriefingsinBioinformatics
v564	vAutonomousAgentsandMulti-AgentSystems
v567	vBulletinofSymbolicLogic
v566	vBioinformatics
v561	vComplex()
v560	vAGILEConf.
v563	vAppl.AlgebraEng.Commun.Comput.
v562	vIF&GIS
v41	vEWSN
v1320	vICAS
v43	vFASE
v1322	vICN
v45	vWorkshopontheTheoryandPracticeofProvenance
v44	vFAST
v47	vFPGA
v46	vFOSSACS
v1329	vPRO-VE
v1328	vAIAI
v1259	vNewConceptsinDigitalReference
v1258	vAutomatedMetadatainMultimediaInformationSystems
v1251	vTheLogicofAdaptiveBehavior
v1250	vOntologyRepresentation
v1253	vAClassofAlgorithmsforDistributedConstraintOptimization
v1252	vLegalTheory,SourcesofLawandtheSemanticWeb
v1255	vTheMemorySystem:YouCan'tAvoidIt,YouCan'tIgnoreIt,YouCan'tFakeIt
v1254	vIntroductiontoSemi-SupervisedLearning
v1257	vHypermediaGenes:AnEvolutionaryPerspectiveonConcepts,Models,andArchitectures
v1256	vPracticalGlobalIlluminationwithIrradianceCaching
v1196	vOperationsResearch
v638	vModularOntologies
v178	vComputerAidedGeometricDesign
v179	vCyberneticsandSystems
v176	vBellLabsTechnicalJournal
v177	vCommun.ACM
v174	vAutom.Softw.Eng.
v175	vBiologicalCybernetics
v172	vArtificialIntelligenceinMedicine
v173	vAppl.SoftComput.
v170	vAppl.Math.Lett.
v171	vAuton.Robots
v778	vIE
v779	vIAT
v774	vHoloMAS
v775	vHPCC
v776	vMELT
v777	vUbiComp
v770	vGIS-LBSN
v771	vGPCE
v772	vGrundlagenvonDatenbanken
v773	vHybridMetaheuristics
v637	vMethods,ModelsandToolsforFaultTolerance
v636	vFoundationsofComputationalIntelligence()
v1392	vIROS
v1813	vPAKDDWorkshops
v1812	vPeer-to-PeerComputing
v1811	vNSDI
v1810	vNPC
v1817	vPCM()
v1816	vPATMOS
v1815	vPASTE
v1814	vPAKDD()
v1819	vPPAM()
v1818	vPE-WASUN
v688	vCIARP
v689	vCiE
v680	vWESS
v681	vACMConferenceonComputerandCommunicationsSecurity
v682	vAISec
v683	vSTC
v684	vCDES
v685	vCDVE
v686	vCGVR
v687	vCHES
v2412	vINLG
v2413	vIPDPSWorkshops
v2410	vICTAI()
v2411	vIFIPTCS
v2416	vNLPCS
v2417	vNMA
v2414	vMEMOCODE
v2415	vMMM()
v2418	vPDC
v2419	vPRIS
v356	vIJCINI
v357	vAdvancesinEngineeringSoftware
v354	vIJSTM
v355	vIJBRA
v352	vJ.NetworkandComputerApplications
v353	vAppliedOntology
v350	vTKDD
v351	vTWEB
v358	vIJAHUC
v359	vIJBIS
v194	vDataMin.Knowl.Discov.
v195	vDes.CodesCryptography
v196	vDiscrete&ComputationalGeometry
v197	vDigitalInvestigation
v190	vCombinatorics,Probability&Computing
v191	vACMComput.Surv.
v192	vComputerVisionandImageUnderstanding
v193	vDiscreteAppliedMathematics
v198	vDataKnowl.Eng.
v199	vDiscreteMathematics
v2308	vDigitaldesignandapplications
v2309	vClassicsinmathematics
v2306	vIWLCS
v2307	vObjekttechnologie
v2304	vAddison-Wesleyseriesinstatistics
v2305	vBeiträgezurgraphischenDatenverarbeitung
v2302	vMcGraw-Hillseriesininformationprocessingandcomputers
v2303	vICVC()
v2300	vSpringer-Lehrbuch
v2301	vPearsonStudium
v222	vInt.J.HybridIntell.Syst.
v223	vInt.J.Intell.Syst.
v220	vInt.J.Comput.Math.
v221	vInt.J.Found.Comput.Sci.
v226	vInt.J.NeuralSyst.
v227	vNeurocomputing
v224	vInternationalJournalofInformationTechnologyandDecisionMaking
v225	vInt.J.Hum.-Comput.Stud.
v228	vIJPRAI
v229	vInternationalJournalofUncertainty,FuzzinessandKnowledge-BasedSystems
v2238	vKeywordSearchinDatabases
v2239	vCommunityDetectionandMininginSocialMedia
v2232	vAnalyticalPerformanceModelingforComputerSystems
v2233	vAnIntroductiontoDuplicateDetection
v2230	vTransactionalMemory(.ed.)
v2231	vCommunicationNetworks:AConciseIntroduction
v2236	vPrivacy-PreservingDataPublishing:AnOverview
v2237	vEnsembleMethodsinDataMining
v2234	vAnalysisTechniquesforInformationSecurity
v2235	vSemanticRoleLabeling
v2126	vIJLT
v2127	vIJRFITA
v2124	vJ.LowPowerElectronics
v2125	vIJMC
v2122	vMicroelectronicsJournal
v2123	vComputers&ElectricalEngineering
v2120	vIEEETrans.Med.Imaging
v2121	vComputers,EnvironmentandUrbanSystems
v2128	vIEEETransactionsonRobotics
v2129	vFoundationsandTrendsinSignalProcessing
v1325	vICRA
v1390	vIFSA/EUSFLATConf.
v998	vNET-COOP
v999	vACAL
v1391	vICIRA
v994	vSUM
v995	vFMICS
v996	vSEAFOOD
v997	vProvSec
v990	vSLS
v991	vEUNICE
v992	vDAARC
v993	vPairing
v1393	vLION
v1324	vICONIP()
v1394	vWiMob
v2562	vIJIIT
v1395	vSASP
v1995	vDIC
v1396	vAGS
v1992	vRECONFIG
v1397	vACIIDS
v1993	vInt.Conf.InteractionSciences
v1398	vDOR
v1399	vDBTA
v1798	vMSN
v1799	vNAA
v1028	vMACE
v1029	vOSC
v1026	vWSKS()
v1027	vCAI
v1024	vCSE()
v1025	vICSC
v1022	vIWCF
v1023	vGlobe
v1020	vSpringSim
v1021	vICMT
v2560	vIJICTE
v518	vSIGMODConference
v519	vSoftwareComposition
v510	vSEDE
v511	vSEKE
v512	vSFM
v513	vSmartGraphics
v514	vCPR
v515	vACMConferenceonElectronicCommerce
v516	vSIGIR
v517	vSIGMETRICS/Performance
v1332	vINDOCRYPT
v1333	vISAAC
v1330	vITWP
v1331	vIMAInt.Conf.
v52	vHICSS
v53	vHiPEAC
v1334	vISCIS
v1335	vISMAR
v1338	vPADTAD
v1339	vISVC()
v58	vICDE
v59	vICDT
v1248	vComputationalIntelligenceandBioengineering
v1249	vHandbookofSatisfiability
v1242	vREWERSE
v1243	vMultimodalCorpora
v1240	vMulti-ObjectiveSwarmIntelligentSystem
v1241	vIntelligentandSoftComputinginInfrastructureSystemsEngineering
v1246	vAdvancesinUbiquitousUserModelling
v1247	vHumanMachineInteraction
v1244	vRobustandOnlineLarge-ScaleOptimization
v1245	vArtificialIntelligence:AnInternationalPerspective
v424	vAustralianSoftwareEngineeringConference
v425	vAAMAS()
v426	vATC
v427	vBildverarbeitungfürdieMedizin
v420	vAda-Europe
v421	vAIME
v422	vPetriNets
v423	vASP-DAC
v428	vLanguages:FromFormaltoNatural
v429	vBNCOD
v169	vAppl.Intell.
v1	vSynthesisLecturesonComputerArchitecture
v2	vACNS
v3	vACSC
v4	vADC
v5	vAfrigraph
v6	vCanadianConferenceonAI
v7	vALENEX
v8	vAOSD
v9	vAPCCM
v163	vAIEDAM
v162	vAICommun.
v165	vAISoc.
v164	vArtif.Intell.Law
v167	vIEEEAnnalsoftheHistoryofComputing
v166	vAlgorithmica
v769	vGIS
v768	vGIS-IWCTS
v767	vGeoS
v766	vGCA
v765	vGbRPR
v764	vFroCos
v763	vFQAS
v762	vFOSAD
v761	vFORMATS
v760	vFM
v1387	vBIBM
v1497	vNTMS
v1496	vHESSD
v1495	vESIAT()
v1494	vIFITA()
v1493	vETT
v1386	vMOBIWAC
v1492	vWGEC
v1491	vSGAIConf.
v1490	vICETET
v1808	vNLDB
v1809	vNOLISP
v1804	vHLT-NAACL(TutorialAbstracts)
v1805	vNetWORKing
v1806	vNIPS
v1807	vHeinzNixdorfSymposium
v1800	vHLT-NAACL
v1801	vHLT-NAACL(StudentResearchWorkshopandDoctoralConsortium)
v1802	vHLT-NAACL(Demos)
v1803	vHLT-NAACL(ShortPapers)
v699	vSymposiumonComputationalGeometry
v698	vCODES+ISSS
v693	vDTMBIO
v692	vCIKM-SWSM
v691	vCloudDB
v690	vCIKM
v697	vCMSB
v696	vCIVR
v695	vCIKM-CNIKM
v694	vCIKM-DSMM
v2156	vJ.InternetServicesandApplications
v2429	vUSENIXSecuritySymposium
v2428	vTRIDENTCOM
v2427	vSRDS
v2426	vWOSIS
v1384	vESEM
v2424	vSIGSOFTFSE
v2423	vSicherheit
v2422	vSETA
v2421	vInternationalSemanticWebConference()
v2420	vEuroMPI
v1655	vDG.O
v1654	vDEXA()
v1657	vDIALM-POMC
v341	vJournalofIntelligentandRoboticSystems
v340	vSignalProcessing
v343	vMathematicsandComputersinSimulation
v342	vComputationalStatistics&DataAnalysis
v345	vEuropeanJournalofOperationalResearch
v344	vOpticalSwitchingandNetworking
v347	vJ.DigitalImaging
v346	vComputerMethodsandProgramsinBiomedicine
v349	vTAAS
v348	vJ.ElectronicTesting
v1650	vDocumentAnalysisSystems
v187	vComputers&OR
v186	vConcurrencyandComputation:PracticeandExperience
v185	vIEEEComputer
v184	vComput.Geom.
v183	vComputerCommunications
v182	vComputerNetworks
v181	vComput.Graph.Forum
v180	vIEEEComputerGraphicsandApplications
v1652	vDELTA
v189	vLogicalMethodsinComputerScience
v188	vCoRR
v2339	vCLIMAX
v2338	vCLIMAAX
v2333	vFCST
v2332	vLogicandAutomata
v2331	vALA
v2330	vAAIRS
v2337	vCLEF()
v2336	vSOCINFO
v2335	vCICLing()
v1470	vRE
v239	vInf.Syst.E-BusinessManagement
v238	vInf.Sci.
v235	vInf.Process.Manage.
v234	vInf.Process.Lett.
v237	vInf.Syst.
v236	vInf.Retr.
v231	vInformatikSpektrum
v230	vInformatica,Lith.Acad.Sci.
v233	vIEEEInternetComputing
v232	vIntegration
v1921	vSCSS
v2207	vComputationalIntelligenceforTechnologyEnhancedLearning
v2206	vInteractiveCollaborativeInformationSystems
v2205	vComputerandInformationScience
v1920	vTeNe
v2203	vComputerVision:Detection,RecognitionandReconstruction
v2202	vRecentAdvancesInHarmonySearchAlgorithm
v2201	vIntelligentAutonomousSystems
v2200	vAdvancesinMusicInformationRetrieval
v2209	vKnowledge-FreeandLearning-BasedMethodsinIntelligentGamePlaying
v2208	vSoftwareEngineering,ArtificialIntelligence,NetworkingandParallel/DistributedComputing
v1929	vWAFR
v1928	vICHL
v1653	vDEON
v2113	vMachineTranslation
v2112	vMath.Log.Q.
v2111	vHigher-OrderandSymbolicComputation
v2110	vJ.WebEng.
v2117	vSIGKDDExplorations
v2116	vSIGIRForum
v2115	vSIGARCHComputerArchitectureNews
v2114	vScientometrics
v2119	vIEEETransactionsonInformationTechnologyinBiomedicine
v2118	vT.Aspect-OrientedSoftwareDevelopmentV
v989	vISICA
v988	vGECON
v987	vIWCMC
v986	vITiCSE
v985	vCCECE
v984	vWISTP
v983	vSOCASE
v982	vRR
v981	vTASE
v980	vEuroSys
v1019	vPETRA
v1018	vIHM
v1013	vSWS
v1012	vDMSN
v1011	vSAICSITConf.
v1010	vMOBILWAREWorkshops
v1017	vAPGV
v1016	vIAS
v1015	vJTRES
v1014	vSAGT
v1400	vWIAMIS
v509	vSDM
v508	vSCIA
v1499	vKDIR
v1401	vSCALCOM-EMBEDDEDCOM
v503	vRTA
v502	vRSKT
v501	vPROFES
v500	vPODS
v507	vSSVM
v506	vSAT
v505	vSAMOS
v504	vSACMAT
v1403	vSERVICESII
v1659	vDMIVA
v1658	vDIALM-PODC
v1309	vCVPR
v1308	vCSF
v1307	vCRV
v1306	vCOSTActionFinalReport
v1305	vIEEEConferenceonComputationalComplexity
v1304	vCIS()
v1303	vCCGRID
v1302	vC
v1301	vBIBE
v1300	vBCSHCI
v1475	vSACI
v1474	vWOWMOM
v1477	vSemWiki
v1476	vFSEN
v1471	vSCAM
v1406	vCAR
v1473	vWCET
v1472	vVL/HCC
v1407	vCASON
v1479	vPLPV
v1478	vHaskell
v1409	vASONAM
v437	vCORIA
v436	vCOORDINATION
v435	vCOCOON
v434	vConf.ComputingFrontiers
v433	vCBSE
v432	vCAV
v431	vCAiSE
v430	vCADE
v439	vSoftwareEngineeringforSelf-AdaptiveSystems
v438	vCPM
